reference	props	spec_cons	x	y
4A3	3.7	206	227934.152	2160970.324
4A6	3.7	206	227910.643	2160972.127
4A9	3.7	206	227866.218	2160972.375
4AC	3.7	206	227894.851	2160974.53
4AF	3.7	206	227822.433	2160974.58
4B2	3.7	206	227850.187	2160971.848
4B5	3.7	206	227935.279	2160978.045
4B8	3.7	206	227911.21	2160978.981
4BB	3.7	206	227895.508	2160980.83
4BE	3.7	206	227869.435	2160980.547
4C1	3.7	206	227823.514	2160982.159
4C4	3.7	206	227852.458	2160983.094
4C7	3.7	206	227911.933	2160985.536
4CA	3.7	206	227936.142	2160986.006
4CD	3.7	206	227896.396	2160987.366
4D0	3.7	206	227870.648	2160988.457
4D3	3.7	206	227824.992	2160989.703
4D6	3.7	206	227853.739	2160990.991
4D9	3.7	206	227912.657	2160992.092
4DC	3.7	206	227897.283	2160993.902
4DF	3.7	206	227937.005	2160993.967
4E2	3.7	206	227871.862	2160996.364
4E5	3.7	206	227913.718	2160998.479
4E8	3.7	206	227826.347	2160997.501
4EB	3.7	206	227855.021	2160998.888
4EE	3.7	206	227898.64	2161000.501
4F1	3.7	206	228033.003	2160995.465
4F4	3.7	206	228004.248	2160997.98
4F7	3.7	206	227996.604	2160999.6
4FA	3.7	206	227873.477	2161004.044
4FD	3.7	206	227988.894	2161000.92
500	3.7	206	227980.823	2161001.228
503	3.7	206	227828.135	2161005.006
506	3.7	206	227972.982	2161001.132
509	3.7	206	227965.041	2161000.005
50C	3.7	206	227957.26	2161000.169
50F	3.7	206	227856.868	2161006.851
512	3.7	206	227949.482	2161000.674
515	3.7	206	227942.135	2161005.159
518	3.7	206	227934.356	2161005.663
51B	3.7	206	227919.011	2161008.734
51E	3.7	206	227912.738	2161009.407
521	3.7	206	227906.839	2161010.515
524	3.7	206	227829.283	2161012.37
527	3.7	206	227901.096	2161010.978
52A	3.7	206	227895.11	2161011.682
52D	3.7	206	227876.126	2161015.244
530	3.7	206	227866.249	2161017.147
533	3.7	206	227859.804	2161017.901
536	3.7	206	227853.108	2161018.911
539	3.7	206	228060.163	2161017.975
53C	3.7	206	227831.381	2161023.18
53F	3.7	206	228053.708	2161020.246
542	3.7	206	228046.068	2161021.368
545	3.7	206	227814.456	2161019.125
548	3.7	206	227806.58	2161020.426
54B	3.7	206	228038.291	2161022.552
54E	3.7	206	227990.145	2161026.532
551	3.7	206	227798.711	2161021.109
554	3.7	206	227982.733	2161027.731
557	3.7	206	228030.22	2161023.99
55A	3.7	206	227965.836	2161029.294
55D	3.7	206	227790.538	2161022.127
560	3.7	206	227956.878	2161029.999
563	3.7	206	227948.112	2161030.797
566	3.7	206	227939.218	2161031.689
569	3.7	206	227922.976	2161033.024
56C	3.7	206	228022.348	2161026.314
56F	3.7	206	227916.834	2161033.989
572	3.7	206	227910.285	2161034.709
575	3.7	206	227988.758	2161038.9
578	3.7	206	227903.502	2161036.385
57B	3.7	206	227896.919	2161037.151
57E	3.7	206	228014.816	2161029.135
581	3.7	206	227963.35	2161040.388
584	3.7	206	227884.037	2161037.963
587	3.7	206	227877.017	2161039.434
